"poll","iso","sector","fuel","units","year","value","country"
"NOx","zaf","2h pulp and paper food beverage wood [2H]","Process","ktNO2",2022,1.12182609052242,"South Africa"
"NOx","zaf","3b manure management [3B]","Process","ktNO2",2022,12.6907437992461,"South Africa"
"NOx","zaf","3d rice cultivation [3D]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","3d soil emissions [3D]","Process","ktNO2",2022,8.8313029643967,"South Africa"
"NOx","zaf","3e enteric fermentation [3E]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","3i agriculture other [3I]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","5a solid waste disposal [5A]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","5c waste combustion [5C]","Process","ktNO2",2022,37.1701768263984,"South Africa"
"NOx","zaf","5d wastewater handling [5D]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","5e other waste handling [5E]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","6a other in total [6A]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","6b other not in total [6B]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","7a fossil fuel fires [7A]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","7bc indirect n2o non agricultural n [7BC]","Process","ktNO2",2022,0,"South Africa"
